id,kecamatan_id,name,latitude,longitude
222,14,Ngranggonanyar,-7.163487,112.13556
223,14,Pejok,-7.255926,112.077445
224,14,Pohwates,-7.164902,112.055089
225,14,Sidomukti,-7.211636,112.104272
226,14,Sidonganti,-7.165179,112.091173
227,14,Simorejo,-7.118762,112.044656
228,14,Sugihwaras,-7.323649,111.965588
229,14,Sumberagung,-7.210253,111.83003
230,14,Sumbergede,-7.147077,112.108743
231,14,Sumberoto,-7.177219,112.061051
232,14,Turigede,-7.16905,112.072974
233,14,Woro,-7.169631,112.09475
234,15,Geneng,-7.283469,111.528944
235,15,Kalangan,-7.335085,111.46038
236,15,Margomulyo,-7.357016,111.50181
237,15,Meduri,-7.318682,111.534906
238,15,Ngelo,-7.287012,111.457399
239,15,Sumberejo,-7.203073,112.02379
240,16,Banaran,-7.109187,111.714515
241,16,Dukohlor,-7.163544,111.660205
242,16,Kacangan,-7.137313,111.669054
243,16,Kedungrejo,-7.230705,112.026771
244,16,Kemiri,-7.14684,111.680978
245,16,Ketileng,-7.10065,111.721222
246,16,Kliteh,-7.129314,111.703336
247,16,Petak,-7.126327,111.68694
248,16,Malo,-7.116667,111.716667
249,16,Ngujung,-7.305898,111.914988
250,16,Rendeng,-7.110607,111.724203
251,16,Semlaran,-7.107958,111.752523
252,16,Sudah,-7.129628,111.722713
253,16,Sukorejo,-7.166852,111.889649
254,16,Sumberejo,-7.203073,112.02379
255,16,Tambakromo,-7.106113,111.68694
256,16,Tanggir,-7.108855,111.759976
257,16,Tinawun,-7.085036,111.704826
258,16,Trembes,-7.10706,111.74507
259,16,Tulungagung,-7.131054,112.126628
260,17,Bondol,-7.287075,111.710788
261,17,Karangmangu,-7.331186,111.740599
262,17,Ngambon,-7.329403,111.725694
263,17,Nglamping,-7.335375,111.707807
264,17,Sengon,-7.30496,111.707807
265,18,Bandungrejo,-7.242986,111.731656
266,18,Bareng,-7.198641,111.758485
267,18,Butoh,-7.260851,111.779352
268,18,Dukoh Kidul,-7.239415,111.752523
269,18,Jampet,-7.168007,111.764447
270,18,Jelu,-7.173946,111.746561
271,18,Kolong,-7.269192,111.764447
272,18,Mediyunan,-7.27277,111.74358
273,18,Ngadiluwih,-7.259365,111.758485
274,18,Ngantru,-7.219469,111.746561
275,18,Ngasem,-7.248942,111.764447
276,18,Sambong,-7.233461,111.770409
277,18,Sendangharjo,-7.301362,111.779352
278,18,Setren,-7.322831,111.755504
279,18,Tengger,-7.220367,111.779352
280,18,Trenggulunan,-7.292431,111.755504
281,18,Wadang,-7.187344,111.782333
282,19,Bancer,-7.22029,111.576641
283,19,Blimbinggede,-7.264232,111.533415
284,19,Jumok,-7.258742,111.540679
285,19,Kalirejo,-7.139826,111.925421
286,19,Klempun,-7.222087,111.591546
287,19,Luwihaji,-7.267931,111.484228
288,19,Mojorejo,-7.274069,112.068503
289,19,Nganti,-7.282285,111.552792
290,19,Ngraho,-7.250619,111.531963
291,19,Pandan,-7.238756,111.561735
292,19,Payaman,-7.213426,111.561735
293,19,Sugihwaras,-7.323649,111.965588
294,19,Sumberagung,-7.210253,111.83003
295,19,Sumberarum,-7.248924,111.865802
296,19,Tanggungan,-7.239345,111.549811
297,19,Tapelan,-7.204006,111.879216
298,20,Banjarejo,-7.140924,111.897933
299,20,Cendono,-7.172067,111.604961
300,20,Dengok,-7.150637,111.60347
301,20,Kebonagung,-7.170018,111.646696
302,20,Kendung,-7.304098,112.074464
303,20,Kuncen,-7.163746,111.619866
304,20,Ngasiman,-7.18041,111.615395
305,20,Ngeper,-7.208397,111.612413
306,20,Ngradin,-7.18087,111.63179
307,20,Nguken,-7.161047,111.597508
308,20,Padangan,-7.193504,111.606451
309,20,Prangi,-7.197354,111.579622
310,20,Purworejo,-7.196768,111.591546
311,20,Sidorejo,-7.280034,112.050618
312,20,Sonorejo,-7.188754,111.625828
