"id","desa_id","nama","alamat","latitude","longitude","deskripsi"
"62","442","Polsek Gondang","Jl. Desa Gondang, Tikung Wetan, Gondang, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62172","-7.399922","111.847101","Kantor Polisi"
"63","443","Polsek Sekar","Putuk Lor, Sekar, Bojonegoro Regency, East Java 62167","-7.407528","111.741131","Kantor Polisi"
"64","47","Polsek Bubulan","JL. RAYA BUBULAN NO. 11","-7.326108","111.807232","Kantor Polisi"
"65","207","Polsek Kalitidu","Jalan Raya Cepu No. 115, Kalitidu, Bojonegoro, Sukoharjo, Kalitidu, Kabupaten Bojonegoro, Jawa Timur 62152","-7.151953","111.838004","Kantor Polisi"
"66","109","Polsek Gayam","Ngasem, Gayam, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62154","-7.176617","111.716075","Kantor Polisi"
"67","21","Polsek Padangan","Jl. Diponegoro No.44, Dusun Kalangan, Padangan, Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62162","-7.156098","111.615559","Kantor Polisi"
"69","30","Polsek Margomulyo","Jl. Bojonegoro - Ngawi, Kalimojo, Margomulyo, Kec. Bojonegoro, Kabupaten Bojonegoro, Jawa Timur 62168","-7.356921","111.499498","Kantor Polisi"
"70","44","Polsek Ngambon","Ngambon, Bojonegoro Regency, East Java 62167","-7.284664","111.725277","Kantor Polisi"
"71","72","Polsek Tambakrejo","Glagahan, Sukorejo, Tambakrejo, Bojonegoro Regency, East Java 62166","-7.264381","111.598537","Kantor Polisi"
"72","266","Polsek Kasiman","Jl. Wonosari No.2, Sendang Kijing, Sambeng, Kasiman, Kabupaten Bojonegoro, Jawa Timur 62164","-7.145587","111.620496","Kantor Polisi"
"73","445","Polsek Kedewan","Jl. Raya Beji, Margoasri, Kedewan, Kabupaten Bojonegoro, Jawa Timur 62164","-7.026007","111.630323","Kantor Polisi"
"74","367","Polsek Trucuk","Jl. Sumberejo - malo, Baturetno, Sumberrejo, Klaten, Kabupaten Bojonegoro, Jawa Timur 62155","-7.120416","111.848567","Kantor Polisi"
"75","444","Polsek Malo","Dusun Gaplok, Sudah, Malo, Bojonegoro Regency, East Java 62153","-7.10674","111.730788","Kantor Polisi"
